text,label
Hãy cho biết phân biệt phân hữu cơ và phân vô cơ xem nào,knowledge_query
Tổng doanh thu hôm qua là bao nhiêu?,financial_query
Cho xem chi tiêu năm 2024.,financial_query
làm ơn ngắt van điện từ số 2,device_control
Độ ẩm đất trung bình của nông trại ơi,sensor_query
hãy cho biết khu vực nào có năng suất thấp nhất đi,analytics_query
Ranking các 1 hecta lúa theo doanh thu.,analytics_query
Tổng chi phí tháng này là bao nhiêu?,financial_query
tía tô bị khô vằn xử lý thế nào?,knowledge_query
Nói lại lần nữa đi,unknown
thử phân tích hiệu quả sử dụng phân bón npk,analytics_query
CHO TÔI HỎI VÌ SAO BẦU TRỜI MÀU XANH,unknown
Cho tôi biết mật độ trồng cây sắn hợp lý.,knowledge_query
So sánh doanh thu quý này với quý trước.,financial_query
tổng kết kết thu chi 6 tháng đầu năm.,financial_query
cho tôi biết bạn có biết bơi không nha,unknown
Cho xem mở máy bơm ở khu a trong 15 phút à,device_control
Bật đèn ở khu A.,device_control
So sánh tiền lãi giữa lúa và cà phê.,analytics_query
cho tôi hỏi tiền mua thức ăn chăn nuôi,financial_query
Lịch sử sản lượng của luống 2?,sensor_query
Hãy mở máy bơm ở khu F.,device_control
Bọ trĩ hại dưa hấu đi,knowledge_query
DỮ LIỆU CẢM BIẾN 1 GIỜ TRƯỚC GIÚP TÔI,sensor_query
Nồng độ CO2 trong nhà kính là bao nhiêu?,sensor_query
Tự động bón phân máy bơm khi nhiệt độ > 30°C.,device_control
Kiểm tra nhiệt độ kho lạnh.,sensor_query
làm ơn dự báo nhu cầu nước tưới cho tuần tới,analytics_query
Thử hôm này là thứ bao nhiêu,unknown
Tổng doanh thu tháng này là là bao nhiêu?,financial_query
Lợi nhuận của khu B quý này?,financial_query
Hãy cho biết giá trị cảm biến ec là gì nha,sensor_query
xin hãy nhiệt độ nước tưới là là bao nhiêu,sensor_query
vui lòng đất bazan hợp với cây gì,knowledge_query
Bệnh rỉ sắt trên cây cà phê nhận biết ra sao?,knowledge_query
Làm sao để cải tạo rau răm?,knowledge_query
Nhện đỏ hại cây cam?,knowledge_query
Bật rèm che ở nhà màng.,device_control
giúp tôi nồng độ co2 trong nhà kính là mấy,sensor_query
làm ơn hôm này là thứ là bao nhiêu,unknown
giúp tôi so sánh năng suất năm này và năm ngoái,analytics_query
vui lòng dữ liệu cảm biến ph có ổn không,sensor_query
Chúc mừng sinh nhật xem nào,unknown
Phân tích doanh thu của cây sầu riêng.,analytics_query
So sánh CO2 giữa khu A và vườn chanh.,sensor_query
Lịch sử doanh thu của đồng ruộng?,sensor_query
Khu vực nào cần ưu tiên cải tạo nha,analytics_query
hãy chạy máy bơm 1 trong 30 phút,device_control
rau dền bị đốm lá xử lý thế nào?,knowledge_query
So sánh tiền lãi giữa ngô và khu B.,analytics_query
Kiểm tra cây sầu riêng tháng 9.,financial_query
Làm sao để diệt ốc bươu vàng?,knowledge_query
Thống kê các loại sâu bệnh thường gặp nhất nha,analytics_query
Cách tưới nước cải bẹ xanh?,knowledge_query
cho tôi hỏi học lập trình bắt đầu từ đâu,unknown
So sánh độ ẩm đất giữa khu A và vườn chanh.,sensor_query
Bệnh ruồi vàng trên thanh long ruột đỏ nhận biết như thế nào?,knowledge_query
vui lòng mặt trăng quay quanh trái đất mất bao lâu,unknown
Chạy máy bơm 1 trong 30 phút nha,device_control
Ranking các giống ST25 theo chi phí.,analytics_query
Biểu đồ EC tuần này.,sensor_query
nhiệt độ cao nhất ngày hôm nay là là mấy giờ giúp tôi,sensor_query
Chi phí thuốc trừ sâu quý này?,financial_query
Ngưng hệ thống tưới ở vườn ươm.,device_control
Đất bazan hợp với cây gì à,knowledge_query
So sánh công nợ giữa ngô và cà phê.,analytics_query
Thời vụ bón phân nấm bào ngư ở miền Bắc?,knowledge_query
Chào bạn nha,unknown
Làm sao để gieo hạt súp lơ xanh?,knowledge_query
độ ẩm đất cao nhất/thấp nhất tuần này?,sensor_query
Bệnh sương mai trên nho nhận biết như thế nào?,knowledge_query
Tự động trồng quạt khi ban ngày.,device_control
TÍNH TỔNG THU NHẬP TỪ BÁN CAM?,financial_query
Liệt kê độ ẩm không khí trong nhà màng.,sensor_query
Biểu đồ pH tháng trước.,sensor_query
CO2 ở nhà màng là mấy?,sensor_query
Cho xem dữ liệu nhiệt độ 3 giờ qua.,sensor_query
Xu hướng ánh sáng quý này.,sensor_query
cho tôi hỏi công thức tính diện tích hình tròn,unknown
hãy chào bạn,unknown
bạn ơi phân biệt phân hữu cơ và phân vô cơ,knowledge_query
xin hãy bệnh héo xanh trên cây cà chua,knowledge_query
tạm ngừng máy bơm toàn bộ.,device_control
CO2 ở đồng ruộng là mấy?,sensor_query
Tự động gieo hạt động cơ khi trời mưa.,device_control
